,failed_albums
6604,Donald Clark Osmond Donny Osmond
6605,Look To The Rainbow: Live Recorded In Europe Al Jarreau
6606,Gold Plated The Climax Blues Band
6607,Kenny Rankin Album Kenny Rankin
6608,"Works Volume I Emerson, Lake & Palmer"
6609,Let's Clean Up The Ghetto Various Artists
6610,Natural Progressions Bernie Leadon And The Michel Georgiades Band
6611,Classics Paul Williams
6612,Love Storm Tavares
6613,Feel The Fire Jermaine Jackson
6614,Caught Live + 5 The Moody Blues
6615,Still Together Gladys Knight And The Pips
6616,Richard Pryor's Greatest Hits Richard Pryor
6617,Anyway You Like It Thelma Houston
6618,Cerrone's Paradise Cerrone
6619,Full Moon Kris Kristofferson & Rita Coolidge
6620,Thelma & Jerry Thelma Houston & Jerry Butler
6621,Albert Finney's Album Albert Finney
6622,Playing Up A Storm Gregg Allman
6623,Al Green's Greatest Hits Volume II Al Green
6624,Before His Time Willie Nelson
6625,Mink Deville Mink De Ville
6626,Miracles By Engelbert Humperdinck Engelbert Humperdinck
6627,Only Love Can Break A Heart Dionne Warwick
6628,"The Beatles Live! At The Star-Club In Hamburg, Germany; 1962 The Beatles"
6629,Out Of The Mist Illusion
6630,Too Late To Cry Widowmaker
6631,Paradise Ballroom Graeme Edge Band
6632,Rhapsody In Blue Walter Murphy & The Big Apple Band
6633,Dowdy Ferry Road England Dan & John Ford Coley
6634,"Songs From The Wood: 40th Anniversary, The Country Set Jethro Tull"
6635,Elegant Gypsy Al Di Meola Project
6636,Are You Serious Richard Pryor
6637,Live 'n' Kickin' Kingfish
6638,Dickey Betts & Great Southern The Dickey Betts Band
6639,Retrospective Linda Ronstadt
6640,"Ahh, The Name Is Bootsy, Baby Bootsy's Rubber Band"
6641,Moroccan Roll Brand X
6642,Joyous Pleasure
6643,What You Need Side Effect
6644,Bumps And Bruises Joe Tex
6645,Music Man Paul Anka
6646,L.a. Jail Richard Pryor
6647,Dancin' Man Q
6648,Originals KISS
6649,38 Special Thirty Eight Special
6650,Stranger In The City John Miles
6651,Coming Back For More William Bell
6652,Rock 'n' Roll Rocket Starbuck
6653,Name Is Love Bobby Vinton
6654,Just Folks...a Firesign Chat Fireside Theater
6655,Egg Cream Egg Cream Feat. Andy Adams
6656,Battle Axe B
6657,Queen Of The Neighborhood Flame
6658,Sleep Walker The Kinks
6659,Reflections In Blue Bobby Bland
6660,This Is The Way That I Feel Marie Osmond
6661,Mad Love Golden Earring
6662,"I Hope We Get To Love In Time Marilyn McCoo & Billy Davis, Jr."
6663,Rated Extraordinaire Johnnie Taylor
6664,Love On The Wind Jesse Colin Young
6665,I Want To Come Back As A Song Walter Jackson
6666,Electrified Funk Wild Cherry
6667,Suite For The Single Girl Jerry Butler
6668,Walk On The Wild Side-The Best Of Lou Reed Lou Reed
6669,Sometimes Facts Of Life
6670,A Man And A Woman Issac Hayes And Dionne Warwick
6671,A Fifth Of Beethoven Walter Murphy & The Big Apple Band
6672,What The World Is Comin' To Dexter Wansel
6673,Best Of Brian Auger Brian Auger
6674,Flight Log (1966-1976) Jefferson Starship
6675,Iguacu Passport
6676,Amnesia The Pousette Dart Band
6677,Love In C Minor Cerrone
6678,Ole ELO Electric Light Orchestra
6679,A Handful Of Beauty Shakti With John Mclaughlin
6680,Jean Carn Jean Cairn
6681,Renaissance Lonnie Liston Smith
6682,Too Hot To Stop Barkays
6683,Reaching For The World Harold Melvin And The Blue Notes
6684,White Rock Rick Wakeman
6685,Holst: The Planets Tomita
6686,The Original Disco Duck Rick Dees
6687,Vibrations Roy Ayers Ubiquity
6688,"Wanted! The Outlaws Waylon Jennings, Willie Nelson, Jessi Colter, Tompall Glaser"
6689,Something Special The Sylvers
6690,Dirt.silver & Gold Nitty Gritty Dirt Band
6691,"Nadia's Theme (The Young And The Restless) Barry DeVorzon and Perry Botkin, Jr."
6692,Time In A Bottle/jim Croce's Greatest Love Songs Jim Croce
6693,If The Lights Don't Get You The Helots Will Stanky Brown Group
6694,Octoberon Barclay James Harvest
6695,Man With Sad Face Stanley Turrentine
6696,The Best Of Friends Loggins & Messina
6697,Pipe Dreams Gladys Knight And The Pips
6698,Hank Crawford's Back Hank Crawford
6699,Porgy & Bess Ray Charles And Cleo Laine
6700,Hardcore Jollies Funkadelic
6701,Sound Of The Drum Ralph MacDonald
6702,Disco Fantasy Coke Escovedo
6703,The Vintage Years The Impressions
6704,Ten Years Of Gold Aretha Franklin
6705,Still Stills-The Best Of Stephen Stills Stephen Stills
6706,Long May You Run Stephen Stills
6707,Play 'n' The Game Nazareth
6708,Mad House Silver Convention
6709,Fullfillingness First Finale Stevie Wonder
6710,"The Best Of Charley Pride, Vol. III Charley Pride"
6711,The Painter Paul Anka
6712,Love Is All Around War Featuring Eric Burdon
6713,All This And World War II Soundtrack
6714,Nice 'n' Naasty The Salsoul Orchestra
6715,Prime Prine - Best John Prine John Prine
6716,Osmond Christmas Album The Osmonds
6717,Rock 'n' Roll Music The Beatles
6718,Rock 'n Roll Heart Lou Reed
6719,Ain't That A Bitch Johnny Guitar Watson
6720,How Late'll Ya Play 'til David Bromberg
6721,Leo Kottke 1971-76 Did You Hear Me? Leo Kottke
6722,My Sweet Summer Suite Love Unlimited Orchestra
6723,Very Together Eumir Deodato
6724,It's Your World Gil Scott-Heron & Brian Jackson
6725,Liberated Fantasy George Duke
6726,Men From Earth Ozark Mountain Daredevils
6727,My Name Is Jermaine Jermaine Jackson
6728,Modern Music Be Bop Deluxe
6729,Anthology The Steve Miller Band
6730,"Love, Life & Feelings Shirley Bassey"
6731,Sparkle (Soundtrack) Aretha Franklin
6732,Best Of B.t.o. (so Far) Bachman-Turner Overdrive
6733,If You're Ever In Texas Freddy Fender
6734,E-man Groovin' Jimmy Caston Bunch
6735,I've Got You Gloria Gaynor
6736,Norman Connors Presents Aquarian Dream Aquarian Dream
6737,Live At Last Tim Weisberg
6738,And The Singer Sings His Songs Neil Diamond
6739,In One Eye And Out The Other Cate Bros.
6740,Go Michael Shrieve
6741,Whistling Down The Wire David Crosby And Graham Nash
6742,To The Heart Mark-Almond
6743,The Power Of Music The Miracles
6744,End Of The Beginning Richie Havens
6745,Together Again...Live Bobby Bland & B.B. King
6746,A Legendary Performer Henry Mancini
6747,Diana Ross (II) Diana Ross
6748,Wind On The Water David Crosby And Graham Nash
6749,One For The Money The Whispers
6750,All Their Greatest Hits Harold Melvin And The Blue Notes
6751,I've Got A Reason Richie Furay Band
6752,8.5 Earthquake
6753,Steppin' Out Neil Sedaka
6754,"From Elvis Presley Blvd, Memphis, Tennessee Elvis Presley"
6755,Rainbow Rising Blackmore's Rainbow
6756,Night Fever The Fatback Band
6757,Diamond In The Rough Jessi Colter
6758,Old Loves Die Hard Triumvirat
6759,Sleeping Beauty Od-40 Cheech & Chong
6760,Good Vibrations/best Of The Beach Boys
6761,2nd Street Backstreet Crawlers
6762,It's A Good Night For Singin' Jerry Jeff Walker
6763,Escape From Babylon Martha Velez
6764,Steal Your Face Grateful Dead
6765,Farther Along Spirit
6766,Jonathan Livingston Seagull/soundtrack Neil Diamond
6767,"Bill Cosby Is Not Himself These Days-rat Own, Rat Bill Cosby"
6768,Together Johnny And Edgar Winter
6769,Need To Be Esther Satterfield
6770,Moodmadness Camel
6771,Showcase The Sylvers
6772,Kinks' Greatest-celluloid Heroes The Kinks
6773,Balls Of Fire Black Oak Arkansas
6774,America Is 200 Years Old...And There's Still Hope! Bob Hope
6775,One Piece At A Time Johnny Cash And The Tennessee Three
6776,Black Rose J.D. Souther
6777,I've Got A Feeling Al Wilson
6778,T Shirt Loudon Wainwright III
6779,Raspberries' Best Feat Eric Carmen The Raspberries
6780,Get Yourself Up Head East
6781,Sun Sessions Elvis Presley
6782,The Promise Michael Pinder
6783,Slow Down World Donovan
6784,K C And The Sunshine Band KC And The Sunshine Band
6785,Rebel John Miles
6786,Odyssey Charles Earland
6787,Sleepless Nights Gram Parsons And The Flying Burrito Brothers
6788,Comin' At Ya Coke Escovedo
6789,Chronicle (The 20 Greatest Hits) Creedence Clearwater Revival
6790,Don Harrison Band Don Harrison Band
6791,New York Connection Tom Scott
6792,Give Us A Wink Sweet
6793,Wilderness C.W. McCall
6794,A Legendary Performer Vol 2 Elvis Presley
6795,Times Of Your Life Paul Anka
6796,One Flew Over The Cuckoo's Nest Soundtrack
6797,Land Of The Midnight Sun Al Di Meola Project
6798,Babyface The Wing & A Prayer Fife & Drum Corps
6799,Our Pleasure To Serve You Stanky Brown Group
6800,Dance Your Troubles Away Archie Bell & The Drells
6801,Locked In Wishbone Ash
6802,Barry Lyndon Soundtrack
6803,That Was Only Yesterday Gary Wright And Spooky Tooth
6804,Havanna Daydreamin' Jimmy Buffett
6805,Silver Linings Charlie Rich
6806,"The Earl Scruggs Revue, Vol. II Earl Scruggs Revue"
6807,Disco Connection Isaac Hayes Movement
6808,Rock 'n' Country Freddy Fender
6809,Concert In Blues Willie Hutch
6810,Mackintosh & T.j. Waylon Jennings
6811,The White Knight Cledus Maggard
6812,Firebird Isao Tomita
6813,Fearless Hoyt Axton
6814,We Sold Our Souls For Rock 'n' Roll Black Sabbath
6815,Barry White's Greatest Hits Volume 1 Barry White
6816,To Be With You Tony Orlando & Dawn
6817,Truckload Of Lovin' Albert King
6818,L.a. Express L.A.Express
6819,Rise And Shine Kokomo
6820,Feel The Spirit Leroy Hutson
6821,Raising Hell The Fatback Band
6822,Zuma Neil Young With Crazy Horse
6823,Music Maestro Please Love Unlimited Orchestra
6824,Born On A Friday Cleo Laine
6825,Second Generation Gaylord And Holiday
6826,Too Young To Feel This Old Mc Kendree Spring
6827,Spiders From Mars Spider
6828,"Live Oblivion, Vol. 2 Brian Auger"
6829,Black Bear Road C.W. McCall
6830,Lydia Pense & Cold Blood Cold Blood
6831,Homecooking Sergio Mendes And Brazil '77
6832,Junkfood Junkie Larry Groce
6833,Homecoming Hagood Hardy
6834,"Reverberi & Schumann, Chopin, Liszt Reverberi"
6835,Four Seasons Story The 4 Seasons
6836,Kickin' The Mighty Clouds Of Joy
6837,"That's The Way Of The World (Soundtrack) Earth, Wind & Fire"
6838,Beast From The East Mandrill
6839,Rattlesnake Ohio Players
6840,Inside Kenny Rankin
6841,Chieftains 5 Chietains
6842,Coke Coke Escovedo
6843,You Don't Stand A Chance If You Can't Dance Jimmy James & The Vagabonds
6844,Bad Luck The Atlanta Disco Band
6845,"The Road Goes On Forever, A Collection Of Their Greatest Recordings The Allman Brothers Band"
6846,Short Cut Draw Blood Jim Capaldi
6847,Sedaka's Back Neil Sedaka
6848,The Faces I've Been Jim Croce
6849,"I Love The Blues, She Heard My Cry George Duke"
6850,Finger Lickin' Good Dennis Coffey
6851,Owlcreek Incident Prelude
6852,Blast From Your Past Ringo Starr
6853,Have You Every Seen The Rain Stanley Turrentine
6854,Are You Ready For Freddy Freddy Fender
6855,Venusian Summer Lenny White
6856,An Evening With Wally Londo Featuring Bill Slaszo George Carlin
6857,X Rated Black Oak Arkansas
6858,1975: The Duets Dave Brubeck And Paul Desmond
6859,Music Of Victor Herbert Beverly Sills
6860,Midnight Lightning Jimi Hendrix
6861,Bobby Vinton Show Bobby Vinton
6862,Encore/The Chuck Mangione Concerts Chuck Mangione
6863,Drama V Ron Banks And The Dramatics
6864,Omnadawn Mike Oldfield
6865,Second Anniversary Gladys Knight And The Pips
6866,Paradise With An Ocean View Country Joe & The Fish
6867,Will O'the Wisp Leon Russell
6868,Denver Gift Box John Denver
6869,"History Of British Rock, Volume 3 Various Artists"
6870,Mr. Jaws And Other Fables Dickie Goodman
6871,Ba-Fa The Hudson Brothers
6872,The Very Best Of Ray Stevens Ray Stevens
6873,Dragonfly Jefferson Starship
6874,Free To Be...You And Me Various Artists
6875,The Band Plays On B
6876,High On You Sly & The Family Stone
6877,Ride A Rock Horse Roger Daltrey
6878,Threads Of Glory - 200 Years Of America In Words & Music Various Artists
6879,Todd Rundgren's Utopia/Another Live Utopia
6880,Wire Fire Savoy Brown
6881,Breakfast Special Pete Wingfield
6882,Fancy Dancer Bobby Humphrey
6883,Minstrel In The Gallery: 40th Anniversary: La Grande Edition Jethro Tull
6884,Ode To My Lady Willie Hutch
6885,Extra Texture (Read All About It) George Harrison
6886,Lisztomania Soundtrack
6887,Elysian Encounter B
6888,"Good,bad But Beautiful Shirley Bassey"
6889,Ritchie Blackmore's R-A-I-N-B-O-W Rainbow
6890,Chewing Pine Leo Kottke
6891,Lucille Talks Back B.B. King
6892,Kick Off Your Muddy Boots Graeme Edge Band
6893,Skybird Tony Orlando & Dawn
6894,From South Africa To South Carolina Gil Scott-Heron
6895,Dr. Demento's Delights Various Artists
6896,Reinforcements Brian Auger's Oblivion Express
6897,Stamp Album The Climax Blues Band
6898,Listen To The City Tim Weisberg
6899,Railhead Overture Mike Post
6900,What Can You Do To Me Now Willie Nelson
6901,Head Over Heels Poco
6902,Blue Sky Night Thunder Michael Martin Murphey
6903,Flying Again The Burrito Brothers
6904,More Miles Per Gallon Buddy Miles
6905,Jamaica Say You Will Joe Cocker
6906,First Cuckoo Eumir Deodato
6907,New Lovers And Old Friends Johnny Rivers
6908,The Best Of Michael Jackson: 20th Century Masters The Millenium Collection Michael Jackson
6909,Night On Bald Mountain Fireball
6910,Acid Queen Tina Turner
6911,Ralf And Florian Kraftwerk
6912,More Heavy Traffic Traffic
6913,It's My Pleasure Billy Preston
6914,Don't It Make You Wanna Dance Rusty Wier
6915,7-6-5-4-3-2-1 Blow Your Whistle Gary Toms Empire
6916,The Last Farewell And Other Hits Roger Whittaker
6917,Get On Down With Bobby Bland Bobby Bland
6918,100 CC 10cc
6919,Slade In Fame Slade
6920,Heart Of The City Barrabas
6921,Low Rent Rendezvous Ace Spectrum
6922,Alvin Stone :birth & Death Of A Gangster Fantastic Four
6923,Disco Tex And The Sex-O-Lettes Disco Tex & The Sex-O-Lettes Starring Sir Monti Rock III
6924,Rollerball Soundtrack
6925,Spartacus Triumvirat
6926,Back To Earth Rare Earth
6927,Sneakin'sally Thru The Alley Robert Palmer
6928,Traffic-On The Road Traffic
6929,Life Is You Batdorf And Rodney
6930,Theway We Were Willis Jackson
6931,Funny Lady Barbra Streisand
6932,Memories Doc Watson
6933,Strange Universe Mahogany Rush
6934,Universal Love MFSB
6935,Burnin' Thing Mac Davis
6936,From Disco To Love Van Mccoy
6937,Blue Jays Justin Hayward & John Lodge
6938,Rockin'chair Gwen McCrae
6939,Sha Na Now Sha Na Na
6940,Well Kept Secret James Last Band
6941,Flying Start The Blackbyrds
6942,Level One Eleven
6943,El Juicio (the Judgement) Keith Jarrett
6944,Nuthin'fancy Lynyrd Skynyrd
6945,Anniversary Special Vol.i Earl Scruggs Revue
6946,Shabazz (Recorded Live In Europe) Billy Cobham
6947,Dyn-O-Mite Jimmie Walker/Esther Rolle
6948,Heart Of Hearts Bobby Vinton
6949,The Monty Python Matching Tie & Handkerchief Monty Python
6950,Goin' Home/their Greatest Hits Ten Years After
6951,Phone Call From God Jerry Jordan
6952,Out Among 'em Love Child's Afro Cuban Blues
6953,Moussorgsky: Pictures At An Exhibition Isao Tomita
6954,Five-A-Side (An Ace Album) Ace
6955,Bondage Angelo Bond
6956,In The Pocket Stanley Turrentine
6957,"Cornbread, Earl And Me The Blackbyrds"
6958,Love Corporation The Hues Corporation
6959,Roger M Guinn + Band Roger McGuinn
6960,Crash Landing Jimi Hendrix
6961,Solid Mandrill
6962,Mickey Mouse Club Soundtrack
6963,The Myths & Legends Of King Arthur & Knights Of Ro Rick Wakeman
6964,Bobby Vinton Sings The Golden Decade Of Love Bobby Vinton
6965,The Dramatic Jackpot Ron Banks And The Dramatics
6966,Plug Me Into Something Henry Gross
6967,Renaissance Ray Charles
6968,Wolf Creek Pass C.W. McCall
6969,Hard Core Poetry Tavares
6970,The Stone Poneys Featuring Linda Ronstadt Linda Ronstadt
6971,Reunion B.J. Thomas
6972,Put It Where You Want It Average White Band
6973,Belle Of The Ball Richard Torrance
6974,Nightbirds Patti LaBelle
6975,Pampered Menial Pavlov's Dog
6976,Get Me To The Country Mc Kendree Spring
6977,Wingless Angel Jon Stewart
6978,U.s.a. King Crimson
6979,Butt Of Course Jimmy Caston Bunch
6980,Your Mama Won't Like Me Suzi Quatro
6981,Silver Morning Kenny Rankin
6982,The Sugar Man Stanley Turrentine
6983,Sad Sweet Dreamer Sweet Sensation
6984,Wolfman Jack/More American Graffiti Movie-Inspired Compilation
6985,On Your Feet Or On Your Knees Blue +yster Cult
6986,The First Minute Of A New Day Gil Scott-Heron & Brian Jackson
6987,Young Frankenstein Soundtrack
6988,All The Love In The World Mac Davis
6989,Waitress In The Donut Shop Maria Muldaur
6990,Dutch Masters - A Selection Of Their Finest Recordings 1969-1973 Focus
6991,Cross-Collateral Passport
6992,Melodies Of Love Bobby Vinton
6993,Vintage Years Fleetwood Mac
6994,Songs Of Fox Hollow Tom T. Hall
6995,Back To The Country Loretta Lynn
6996,Two Sides Of The Moon Keith Moon
6997,Lovers Mickey Newbury
6998,Southbound Hoyt Axton
6999,Who's Sorry Now Marie Osmond
7000,Joy To The World-Their Greatest Hits Three Dog Night
7001,The Real Lenny Bruce Lenny B.
7002,Kung Fu Fighting And Other Great Love Songs Carl Douglas
7003,The Prophet By Kahlil Gibran Richard Harris
7004,Don't Cha Love It The Miracles
7005,Dave Mason At His Best Dave Mason
7006,To The Door Of The Sun Al Martino
7007,The Baker Gurvitz Army B
7008,A Legendary Performer The Glenn Miller Orchestra
7009,"Bob Dylan's Greatest Hits, Vol. II Bob Dylan"
7010,Sinner...And Saint Rory Gallagher
7011,Maxoom Mahogany Rush
7012,It's Time Bonnie Bramlett
7013,Dawn's New Ragtime Follies Dawn Featuring Tony Orlando
7014,Lenny Bruce/Carnegie Hall Lenny B.
7015,The Very Best Of Gordon Lightfoot Gordon Lightfoot
7016,Bachman-Turner-Bachman As Brave Belt Bachman-Turner Overdrive
7017,Scorching Beauty Iron Butterfly
7018,The Whole Thing Started With Rock & Roll And Now I Ray Manzarek
7019,With Everything I Feel In Me Aretha Franklin
7020,"The Godfather, Part II Soundtrack"
7021,Breakaway Kris Kristofferson & Rita Coolidge
7022,Together For The First Time...Live B.B. King And Bobby Bland
7023,Walker's Collectibles Jerry Jeff Walker
7024,"Live Oblivion, Vol. 1 Brian Auger"
7025,Here's Johnny ù Magic Moments From The Tonight Show Soundtrack
7026,Love's The Thing Barbara Mason
7027,Mad Dog John Entwistle
7028,Phantom Of The Paradise Soundtrack
7029,"History Of British Rock, Volume 2 Various Artists"
7030,The Impossible Dream Sensation
7031,Like Children Jerry Goodman & Jan Hammer
7032,Dancing Machine The Jacksons
7033,The Handsome Devils Hello People
7034,Pinafore Days ST
7035,Heavy The Stylistics
7036,Snowflakes Are Dancing Tomita
7037,The Towering Inferno Soundtrack
7038,"Welcome Back, My Friends, To The Show That Never Ends - Ladies and Gentleme Emerson, Lake & Palmer"
7039,Apprentice (In A Musical Workshop) Dave Loggins
7040,Tim Weisberg 4 Tim Weisberg
7041,Paul Anka Gold Paul Anka
7042,The Trial Of Billy Jack Soundtrack
7043,Tony Orlando & Dawn II Tony Orlando & Dawn
7044,Candida & Knock Three Times Tony Orlando & Dawn
7045,Hot Wire TR
7046,Roxy & Elsewhere Zappa/Mothers
7047,The Turtles' Greatest Hits/Happy Together Again The Turtles
7048,A Beautiful Thing Cleo Laine
7049,Dreams And All That Stuff Leo Kottke
7050,Bobby Womack's Greatest Hits Bobby Womack
7051,Shankar Family & Friends Ravi Shankar
7052,The Place I Love Splinter
7053,7-Tease Donovan
7054,You Lay So Easy On My Mind Andy Williams
7055,Round #1 Frank Sinatra
7056,"Piano Rags By Scott Joplin, Volume III Joshua Rifkin"
7057,Artistry Deodato
7058,Burt Bacharach's Greatest Hits Burt Bacharach
7059,Magic Bus-The Who On Tour / The Who Sings My Generation The Who
7060,"Waltons' Christmas Album, The Soundtrack"
7061,The Songs Of Jim Weatherly Jim Weatherly
7062,Brujo New Riders Of The Purple Sage
7063,Hollywood Situation The Hudson Brothers
7064,Give It To The People The Righteous Brothers
7065,The Baddest Turrentine Stanley Turrentine
7066,Climax Ohio Players
7067,Let's Put It All Together The Stylistics
7068,Totally Out Of Control The Hudson Brothers
7069,Friends & Smiley Smile The Beach Boys
7070,Journey To The Centre Of The Earth Rick Wakeman With The London Symphony Orchestra & The English Chamber Choir (Measham)
7071,"An Anthology, Vol. II Duane Allman"
7072,Having Fun With Elvis On Stage Elvis Presley
7073,Everything You Know Is Wrong Firesign Theatre
7074,The Final Swing TR
7075,Illusions On A Double Dimple Triumvirat
7076,Child Of The Novelty Mahogany Rush
7077,Bobby Goldsboro's 10th Anniversary Album Bobby Goldsboro
7078,Bachman-Turner Overdrive (1973) Bachman-Turner Overdrive
7079,It's Time Mighty Clouds Of Joy
7080,Miami The James Gang
7081,"Another Time Earth, Wind & Fire"
7082,Light Shine Jesse Colin Young
7083,Treasure Chest Herbie Hancock
7084,Scott Joplin: The Red Back Book New England Conservatory Chorus
7085,Seals & Crofts I And II Seals & Crofts
7086,Nobody Does It Like Me Shirley Bassey
7087,I Am Not Afraid Hugh Masekela
7088,Osibirock O
7089,Wild Honey & 20/20 The Beach Boys
7090,Anthology (1962-1969) Diana Ross & The Supremes
7091,"Piano Rags By Scott Joplin, Volumes I & II Joshua Rifkin"
7092,Garcia (II) Jerry Garcia
7093,"The Best Of Bread, Volume Two Bread"
7094,The Entertainer Marvin Hamlisch
7095,Whale Meat Again Jim Capaldi
7096,In My Little Corner Of The World Marie Osmond
7097,The Madcap Laughs/Barrett Syd Barrett
7098,Together Brothers Love Unlimited Orchestra
7099,Rampant Nazareth
7100,Apocalypse The Mahavishnu Orchestra
7101,Smokey Robinson & The Miracles' Anthology The Miracles
7102,Straight Ahead Brian Auger
7103,Whirlwinds Deodato
7104,Close Up The Honky Tonks Fly
7105,Get It Together The Jacksons
7106,Over Here! The Andrews Sisters
7107,Secret Treaties Blue +yster Cult
7108,Anthology Gladys Knight And The Pips
7109,Day By Day Cleo Laine
7110,Circles Mary Travers
7111,"Home, Home On The Road New Riders Of The Purple Sage"
7112,Damn Right I Am Somebody The JB's
7113,Under The Influence Of... Love Unlimited
7114,Hot Sox Sha Na Na
7115,Son Of Dracula Nilsson
7116,In Too Much Too Soon New York Dolls
7117,Early Flight Jefferson Airplane
7118,Introducing The Eleventh House With Larry Coryell Eleven
7119,Desitively Bonnaroo Dr. John
7120,Vintage 74 Sergio Mendes
7121,Lookin' For A Love Again Bobby Womack
7122,Insane Asylum Kathi McDonald
7123,"Live 'N' Kickin' West, Bruce & Laing"
7124,Boogie Brothers Savoy Brown
7125,ST-11261 Brewer And Shipley
7126,History Of British Rock Various Artists
7127,Ice Water Leo Kottke
7128,Cleo Laine Live!!! At Carnegie Hall Cleo Laine
7129,Dream Kid Sutherland Brothers And Quiver
7130,In Concert Airto Moreira
7131,3 + 3 The Isley Brothers
7132,Unconditionally Guaranteed Captain Beefheart & The Magic Band
7133,The Best Of Skeletons From The Closet Grateful Dead
7134,Bang The James Gang
7135,Missing White House Tapes National Lampoon
7136,"Eres Tu ""Touch The Wind"" Mocedades"
7137,Roy Clark / The Entertainer Roy Clark
7138,Loud 'N' Proud Nazareth
7139,Mame Soundtrack
7140,E.H. in the U.K. Eddie Harris
7141,"Supersax Plays Bird, Volume 2/Salt Peanuts Supersax"
7142,Cinco El Chicano
7143,A Nice Pair Pink Floyd
7144,Anthology The Temptations
7145,"Stomp Your Hands, Clap Your Feet Slade"
7146,For The People In The Last Hard Town Tom T. Hall
7147,Ascencion Malo
7148,Bowie Pin Ups David Bowie
7149,The Tale Of The Giant Rat Of Sumatra Firesign Theatre
7150,Check It Out Tavares
7151,Between Nothingness & Eternity The Mahavishnu Orchestra
7152,Beginnings The Allman Brothers Band
7153,Rod Stewart/Faces Live - Coast To Coast Overture And Beginners Rod Stewart
7154,Windfall Rick Nelson
7155,Jonathan Livingston Seagull Richard Harris
7156,Closer To It! Brian Auger
7157,Essence To Essence Donovan
7158,Unsung Heroes The Crusaders
7159,Everybody Likes Some Kind Of Music Billy Preston
7160,Raised On Rock/For Ol' Times Sake Elvis Presley
7161,T.B. Sheets Van Morrison
7162,Billy Jack Soundtrack
7163,"Sonny & Cher Live In Las Vegas, Vol. 2 Sonny & Cher"
7164,"The Best Of The Guess Who, Volume II The Guess Who"
7165,Dreamspeaker Tim Weisberg
7166,Space Ritual/Alive In Liverpool And London Hawkwind
7167,16 Greatest Hits The James Gang
7168,Isleys' Greatest Hits The Isley Brothers
7169,"Hank Wilson's Back, Vol. I Leon Russell"
7170,Foursider Herb Alpert
7171,It All Comes Back The Paul Butterfield Blues Band
7172,The Best Of Procol Harum Procol Harum
7173,Sing It Again Rod Rod Stewart
7174,Early Allman The Allman Brothers Band
7175,Black Byrd Donald Byrd
7176,Love Devotion Surrender Carlos Santana/Mahavishnu John McLaughlin
7177,Lifeboat Sutherland Brothers And Quiver
7178,Lady Sings The Blues (Soundtrack) Diana Ross
7179,Mark-Almond 73 Mark-Almond
7180,Loving Arms Dobie Gray
7181,Chris Jagger Chris J
7182,Photos Of Ghosts P.F.M
7183,Boogie Woogie Bugle Girls The Andrews Sisters
7184,Richard Nixon: A Fantasy David
7185,Ten Years Are Gone John Mayall
7186,More Creedence Gold Creedence Clearwater Revival
7187,All I Ever Meant To Do Was Sing Johnny Rodriguez
7188,Fully Exposed Willie Hutch
7189,Armed And Extremely Dangerous First Choice
7190,Live At Carnegie Hall Shirley Bassey
7191,"No Sweat Blood, Sweat & Tears"
7192,You've Never Been This Far Before / Baby's Gone Conway Twitty
7193,Dick Clark/20 Years Of Rock N' Roll Various Artists
7194,Turtle Bay Herbie Mann
7195,The Morning After Maureen McGovern
7196,Live At The Sahara Tahoe Isaac Hayes
7197,O Lucky Man! Alan Price
7198,Tuneweaving Dawn Featuring Tony Orlando
7199,You've Got It Bad Girl Quincy Jones
7200,Etta James Etta James
7201,Sound Track Recordings From The Film Jimi Hendrix Jimi Hendrix
7202,Recorded Live Ten Years After
7203,Razamanaz Nazareth
7204,Home To Myself Melissa Manchester
7205,Live And Let Die Soundtrack
7206,Sufficiently Breathless Captain Beyond
7207,"I Love Dixie Blues...So I Recorded ""Live"" In New Orleans Merle Haggard And The Strangers"
7208,Valley Hi Ian Matthews
7209,In The Right Place Dr. John
7210,It Hurts So Good Millie Jackson
7211,Frampton's Camel Peter Frampton
7212,Harmony Ray Conniff
7213,Profile Jan Akkerman
7214,Still Pete Sinfield
7215,Two Sides Of Peter Banks Peter Banks
7216,Spinners The Spinners
7217,Basic Miles - The Classic Performances Of Miles Davis Miles Davis
7218,Electra Glide In Blue Soundtrack
7219,Rural Free Delivery Eric Weissberg & Steve Mandell
7220,Trip To Heaven Freddie Hart
7221,Inside Straight Cannonball Adderley
7222,Those Glorious MGM Musicals: Singin' In The Rain/Easter Parade Soundtrack
7223,"Ramsey Lewis' Newly Recorded All-Time, Non-Stop Golden Hits Ramsey Lewis"
7224,Cleopatra Jones Soundtrack
7225,Doing It To Death The JB's
7226,Birds Of Fire The Mahavishnu Orchestra
7227,Out Of Our Hands Flash
7228,Hollywood Dream Thunderclap Newman
7229,The Earl Scruggs Revue Earl Scruggs Revue
7230,Paper Moon Soundtrack
7231,The Original Monster Mash Bobby Pickett
7232,Those Glorious MGM Musicals: Show Boat/Annie Get Your Gun Soundtrack
7233,"Louisiana Woman, Mississippi Man Conway Twitty & Loretta Lynn"
7234,Cross Country Cross Country
7235,A Little Touch Of Schmilsson In The Night Nilsson
7236,Extension Of A Man Donny Hathaway
7237,Elvis Elvis Presley
7238,Cosmic Slop Funkadelic
7239,"Soul Box Grover Washington, Jr."
7240,King Of Hearts Engelbert Humperdinck
7241,More (Soundtrack) Pink Floyd
