,album_name,artist
2999,So Far Gone,Drake
3082,Only Jesus,Casting Crowns
3085,Egypt Station,Paul McCartney
3109,The Eminem Show,Eminem
3152,Glotoven,Chief Keef & Zaytoven
3153,Electric On The Eel,Jerry Garcia Band
3180,Hangin' Tough,New Kids On The Block
3192,Ain't Nothin' To It,Cody Johnson
3195,If You're Reading This It's Too Late,Drake
3196,Trolls,Soundtrack
3198,Without Warning,"21 Savage, Offset & Metro Boomin"
3199,Sick Boy,The Chainsmokers
3220,Shock,Tesla
3244,Still On My Mind,Dido
3257,"Everything Not Saved Will Be Lost, Part 1",Foals
3361,This Land,Gary Clark Jr.
3368,There Will Be No Intermission,Amanda Palmer
3385,Gold In A Brass Age,David Gray
3390,Three Cheers For Sweet Revenge,My Chemical Romance
3392,Mudboy,Sheck Wes
3418,Weezer (Black Album),Weezer
3454,War,Demon Hunter
3460,Peace,Demon Hunter
3473,Jesus You Alone,Highlands Worship
3509,The Verdict,Queensryche
3514,1UP,T-Pain
3520,"I, The Mask",In Flames
3539,The Dream Chapter: STAR (EP),TOMORROW X TOGETHER
3561,The Very Best Of Prince,Prince
3575,NOW 69,Various Artists
3589,Distance Over Time,Dream Theater
3591,"XXXTENTACION Presents: Members Only, IV",Various Artists
3687,South Of Reality,Claypool Lennon Delirium
3712,Head Above Water,Avril Lavigne
3721,The Slim Shady LP,Eminem
3732,The Rebirth II,Eric Bellinger
3739,"OK, I'M SICK",Badflower
3751,DNA,Backstreet Boys
3757,The Wings Of War,Overkill
3770,Vida,Luis Fonsi
3775,The Best Of The '68 Comeback Special (Soundtrack),Elvis Presley
3781,Real Hasta La Muerte,Anuel AA
3827,Signs,Tedeschi Trucks Band
3843,Fearless Fred Fury,Insane Clown Posse
3853,Bridges,Josh Groban
3889,From Michigan With Love,Quinn XCII
3923,American Love Song,Ryan Bingham
3948,ilumiNATTI,Natti Natasha
3950,Heard It In A Past Life,Maggie Rogers
3951,Worthy,India.Arie
3953,"By The Way, I Forgive You",Brandi Carlile
3969,Elv1s: 30 #1 Hits,Elvis Presley
3971,Anthem Of The Peaceful Army,Greta Van Fleet
3983,Grammy Nominees 2019,Various Artists
3993,The Lego Movie 2: The Second Part,Soundtrack
3995,YBN: The Mixtape,"YBN Nahmir, YBN Almighty Jay & YBN Cordae"
3999,Best Of 50 Cent,50 Cent
4034,2009,Wiz Khalifa & Curren$Y
4136,Peach Club,Emarosa
4146,Kidz Bop 39,Kidz Bop Kids
4155,A Symphony Of Hits,Michael Bolton
4167,Still Swervin,G Herbo
4176,Ultimate Dolly Parton,Dolly Parton
4182,Testing,A$AP Rocky
4191,Sunshine Rock,Bob Mould
4196,Photographs & Memories/His Greatest Hits,Jim Croce
4198,"Come Over When You're Sober, Part 2",Lil Peep
4225,"Dave's Picks, Volume 29: Swing Auditorium, San Bernardino, CA, 2/26/77",Grateful Dead
4285,Midnight,Set It Off
4295,Songs About Jane,Maroon 5
4296,Live In Hollywood,Linda Ronstadt
4310,amo,Bring Me The Horizon
4328,Resist,Within Temptation
4334,Everything Is For Sale,Boogie
4363,Tides Of A Teardrop,Mandolin Orange
4391,Assume Form,James Blake
4392,4275,Jacquees
4393,The Thrill Of It All,Sam Smith
4394,Telling All My Secrets,Mitchell Tenpenny
4395,Bobby Tarantino II,Logic
4455,Victory: Recorded Live,Bethel Music
4461,"Stay Human, Vol. II",Michael Franti & Spearhead
4498,"Inner Monologue, Part 1 (EP)",Julia Michaels
4538,Feral Roots,Rival Sons
4559,Mary Poppins Returns,Soundtrack
4586,Stay Dangerous,YG
4593,4 Your Eyez Only,J. Cole
4597,Born Sinner,J. Cole
4598,ONEPOINTFIVE,Amine
4640,Native Tongue,Switchfoot
4648,Look Alive,Guster
4672,Who Do You Trust?,Papa Roach
4681,Human,dodie
4693,Remind Me Tomorrow,Sharon Van Etten
4713,Outer Peace,Toro y Moi
4775,Malibu Ken,Aesop Rock And TABACCO Are Malibu Ken
4789,My Everything,Ariana Grande
4791,Why Hasn't Everything Already Disappeared?,Deerhunter
4795,There's Really A Wolf,Russ
4796,"My Dear Melancholy, (EP)",The Weeknd
4798,Bawskee 2,Comethazine
4799,Tell Me You Love Me,Demi Lovato
4934,Magnolia,Randy Houser
4945,Born To Die,Lana Del Rey
4975,Speak Your Mind,Anne-Marie
4976,A Brief Inquiry Into Online Relationships,The 1975
4992,Nuthin' 2 Prove,Lil Yachty
4994,The Last Rocket,TakeOff
